Mean,Time
50.26567069,6058.416335
53.71246559,6058.439575
64.31031908,6058.525564
65.3472616,6058.565737
61.00041128,6058.59595
63.92665212,6058.608898
52.6065094,6058.663347
48.11697356,6058.679283
52.02246094,6058.691899
61.59058573,6058.698539
69.76067505,6058.839309
66.99698181,6058.85259
69.29905599,6058.860558
68.85269043,6058.899402
68.89683513,6058.919323
68.51936133,6059.024236
73.94808904,6059.032537
74.36683044,6059.058101
67.57139648,6059.068725
64.80222443,6059.073705
58.62848772,6059.123838
55.94529285,6059.13081
59.2357605,6059.144422
52.11879883,6059.15239
52.36927734,6059.183267
66.75201737,6059.243028
64.83025613,6059.261952
60.06482215,6059.296149
65.34870071,6059.339309
51.87018492,6059.349934
52.27832304,6059.38081
60.57878675,6059.550133
65.33107438,6059.562749
65.79333411,6059.573041
64.70551627,6059.611222
61.72564594,6059.629814
64.696309,6059.688579
64.94137207,6059.800797
69.41929794,6059.810757
66.64655273,6059.869854
74.04094773,6059.886454
70.82759386,6059.934927
69.19369472,6060.072045
69.13260885,6060.112218
61.81673596,6060.165671
65.96737061,6060.372842
68.21248136,6060.378818
62.76911874,6060.397078
65.34536292,6060.425963
69.09786053,6060.441235
67.48469238,6060.457503
64.60900635,6060.478088
67.06009894,6060.481408
71.19813779,6060.567397
70.98310206,6060.617862
65.3691123,6060.632138
60.28216745,6060.640438
59.91949192,6060.653054
59.92567116,6060.688911
59.84299921,6060.707171
59.91154247,6060.807769
64.96805026,6060.875498
65.95237461,6060.897078
69.63236294,6060.985724
69.68055404,6060.995352
72.41274602,6061.070053
63.17413563,6061.083001
58.95534842,6061.182271
61.98564482,6061.196215
58.77299456,6061.25166
55.53508864,6061.265604
54.09872425,6061.26992
53.27967041,6061.305113
59.15319754,6061.315073
60.3816256,6061.361222
63.99645793,6061.425963
64.86656853,6061.449867
64.34323943,6061.461155
71.43839941,6061.476428
60.77919985,6061.526228
61.84892578,6061.551793
60.86258261,6061.558433
52.14890442,6061.615538
49.41553744,6061.652722
52.33555908,6061.842961
53.94440186,6061.846946
53.53927028,6061.853586
65.75061035,6061.900398
63.40890319,6061.931607
60.03703238,6061.959163
64.31844439,6061.963479
65.63712331,6062.000664
68.14510213,6062.064077
67.09633026,6062.099602
59.41248845,6062.115538
60.09141021,6062.189243
66.48203726,6062.201527
70.59158936,6062.223108
64.87873902,6062.226428
63.80045619,6062.345618
67.26969441,6062.380478
66.0422045,6062.39409
55.54580034,6062.431275
52.62737327,6062.449535
55.26583659,6062.478088
57.92256931,6062.481076
59.00007673,6062.5083
57.86853659,6062.515272
59.19722534,6062.552457
58.24900549,6062.559097
69.73266236,6062.570385
66.49827615,6062.694555
59.1032959,6062.702191
63.60673282,6062.710491
69.31919442,6062.75498
65.39197066,6062.794157
57.78369755,6062.830677
57.45537943,6062.886122
54.24786621,6062.939575
52.44893233,6062.942895
52.86421326,6062.983732
54.0053214,6062.997012
54.68741522,6063.166335
54.28399292,6063.220452
65.54830078,6063.240372
61.41868952,6063.247012
63.32610677,6063.276228
65.35826652,6063.279216
65.91318054,6063.340969
67.38205201,6063.346282
64.57391183,6063.381806
66.70891884,6063.398074
68.95040458,6063.429615
66.99238943,6063.438911
68.53931439,6063.536853
66.34486997,6063.60591
52.4173106,6063.727092
52.45737205,6063.797809
65.7225118,6064.211819
65.80959273,6064.247676
65.0601888,6064.329017
66.21332416,6064.332005
70.1212605,6064.364874
68.6166626,6064.38247
67.92509417,6064.416335
66.84243978,6064.430279
64.71594141,6064.433267
72.71189875,6064.449867
71.66225364,6064.486388
67.10764581,6064.49004
67.45087163,6064.518924
62.42128619,6064.534529
62.04641846,6064.551461
65.74157867,6064.571381
68.72261936,6064.576693
68.86751164,6064.683931
69.2372221,6064.727092
68.08078308,6064.7583
62.61410132,6064.763612
63.02745931,6064.783865
61.62146132,6064.798805
60.74774711,6064.816733
64.63328946,6064.842961
65.31708984,6064.875166
66.16245483,6064.87915
61.38329264,6064.89907
58.27084429,6064.908035
61.85556977,6064.970452
54.67988535,6064.999336
65.06085092,6065.0249
64.99332136,6065.057105
66.90175461,6065.109562
69.33767244,6065.177955
53.00097866,6065.204183
52.51433998,6065.215803
48.3977478,6065.250332
46.88651189,6065.254316
51.59392342,6065.346946
63.35321825,6065.356574
57.50281453,6065.376826
57.53968001,6065.394422
51.26013502,6065.449867
56.74783447,6065.472776
65.94328613,6065.479416
67.61277799,6065.509296
50.97880046,6065.523904
60.70190277,6065.550797
61.93431618,6065.561421
49.76076092,6065.568725
53.9010498,6065.583001
52.98076943,6065.602258
53.97828622,6065.608566
51.72140503,6065.627822
51.40436579,6065.631806
59.42300129,6065.704847
66.0194415,6065.742364
60.05672687,6065.801793
58.39810254,6065.862882
64.50690398,6065.879482
66.60792495,6065.899734
67.81661638,6065.934263
67.80581868,6066.086321
69.98775722,6066.113214
66.96859654,6066.141102
63.54172015,6066.14575
60.48478125,6066.148074
62.31041535,6066.164675
56.3132899,6066.185259
56.06865234,6066.227424
